Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6501,Tom and Jerry in War of the Whiskers,ps2,2002.0,fighting,ubisoft,0.13,0.1,0.0,0.03,0.26
6502,Ace Attorney Investigations 2,ds,2011.0,adventure,capcom,0.0,0.0,0.26,0.0,0.26
6503,Minute to Win It,wii,2010.0,misc,zoo games,0.25,0.0,0.0,0.02,0.26
6504,Smart Girl's Playhouse,ds,2007.0,misc,505 games,0.24,0.0,0.0,0.02,0.26
6505,Racquet Sports,wii,2010.0,sports,ubisoft,0.14,0.09,0.0,0.02,0.26
6506,TouchMaster 3(Others sales),ds,2009.0,puzzle,warner bros. interactive entertainment,0.0,0.24,0.0,0.02,0.26
6507,The Elder Scrolls IV: Oblivion,pc,2006.0,role-playing,take-two interactive,0.01,0.2,0.0,0.05,0.26
6508,Jikkyou Powerful Pro Yakyuu 2011,ps3,2011.0,sports,konami digital entertainment,0.0,0.0,0.26,0.0,0.26
6509,Madden NFL 2005,ds,2004.0,sports,electronic arts,0.24,0.0,0.0,0.02,0.26
6510,Skylanders: Trap Team,3ds,2014.0,action,activision,0.14,0.1,0.0,0.02,0.26
6511,Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,gba,2006.0,misc,konami digital entertainment,0.14,0.05,0.07,0.01,0.26
6512,Power Pro Kun Pocket 5,gba,2003.0,sports,konami digital entertainment,0.0,0.0,0.25,0.01,0.26
6513,Konjiki no Gashbell!! Makai no Bookmark,gba,2004.0,adventure,banpresto,0.0,0.0,0.25,0.01,0.26
6514,Plants vs. Zombies,x360,2010.0,strategy,popcap games,0.24,0.0,0.0,0.02,0.26
6515,Riding Spirits,ps2,2002.0,racing,bam! entertainment,0.13,0.1,0.0,0.03,0.26
6516,Disney Sing It: Pop Hits,ps3,2009.0,misc,disney interactive studios,0.17,0.05,0.0,0.03,0.26
6517,Indiana Jones and the Staff of Kings,ds,2009.0,action,activision,0.17,0.07,0.0,0.02,0.26
6518,Etrian Odyssey Untold: The Millennium Girl,3ds,2013.0,role-playing,atlus,0.1,0.01,0.14,0.01,0.26
6519,Bust A Groove 2,ps,1999.0,misc,enix corporation,0.04,0.03,0.18,0.02,0.26
6520,Hatsune Miku: Project Diva,psp,2009.0,misc,sega,0.0,0.0,0.26,0.0,0.26
6521,Juiced 2: Hot Import Nights,ps3,2007.0,racing,thq,0.18,0.04,0.01,0.03,0.26
6522,Gundam Battle Universe,psp,2008.0,fighting,namco bandai games,0.0,0.0,0.26,0.0,0.26
6523,Sengoku Basara: Battle Heroes,psp,2009.0,action,capcom,0.0,0.0,0.26,0.0,0.26
6524,Nightmare Creatures,n64,1996.0,action,activision,0.21,0.05,0.0,0.0,0.26
6525,Star Wars Episode I: Battle for Naboo,n64,2000.0,simulation,lucasarts,0.21,0.05,0.0,0.0,0.26
6526,Duke Nukem: Zero Hour,n64,1999.0,shooter,gt interactive,0.21,0.05,0.0,0.0,0.26
6527,Armorines: Project S.W.A.R.M.,n64,1999.0,shooter,acclaim entertainment,0.21,0.05,0.0,0.0,0.26
6528,NCAA March Madness 08,ps2,2007.0,sports,electronic arts,0.13,0.1,0.0,0.03,0.26
6529,Armored Core: Nexus,ps2,2004.0,simulation,indie games,0.06,0.05,0.14,0.02,0.26
6530,Evolution Skateboarding,ps2,2002.0,sports,konami digital entertainment,0.13,0.1,0.0,0.03,0.26
6531,Dora the Explorer: The Search for Pirate Pig's Treasure,gba,2002.0,adventure,newkidco,0.19,0.07,0.0,0.0,0.26
6532,Muramasa: The Demon Blade,psv,2013.0,role-playing,marvelous entertainment,0.13,0.0,0.1,0.03,0.26
6533,Yakuza: Ishin,ps3,2014.0,action,sega,0.0,0.0,0.26,0.0,0.26
6534,Indiana Jones and the Staff of Kings,psp,2009.0,action,activision,0.11,0.1,0.0,0.06,0.26
6535,Tony Hawk: Shred,x360,2010.0,sports,activision,0.17,0.07,0.0,0.02,0.26
6536,Outlaw Volleyball,xb,2003.0,sports,tdk mediactive,0.19,0.06,0.0,0.01,0.26
6537,Batman: Vengeance,gc,2001.0,adventure,ubisoft,0.2,0.05,0.0,0.01,0.26
6538,The Amazing Spider-Man 2 (2014),x360,2014.0,action,activision,0.1,0.14,0.0,0.02,0.26
6539,RealSports Football,2600,1981.0,sports,atari,0.24,0.01,0.0,0.0,0.26
6540,Tiger Woods PGA Tour 10,ps2,2009.0,sports,electronic arts,0.12,0.01,0.0,0.13,0.26
6541,SD Gundam G Generation: Cross Drive,ds,2007.0,strategy,namco bandai games,0.0,0.0,0.26,0.0,0.26
6542,Tom Clancy's Splinter Cell: Double Agent,ps3,2007.0,action,ubisoft,0.2,0.03,0.0,0.03,0.26
6543,Monsters vs. Aliens,wii,2009.0,action,activision,0.14,0.09,0.0,0.03,0.26
6544,Dungeons & Dragons Heroes,xb,2003.0,role-playing,atari,0.19,0.06,0.0,0.01,0.26
6545,The Testament of Sherlock Holmes,ps3,2012.0,adventure,focus home interactive,0.05,0.15,0.0,0.06,0.26
6546,Game of Thrones,x360,2012.0,role-playing,focus home interactive,0.15,0.08,0.0,0.02,0.26
6547,Loving Life with Hello Kitty & Friends,ds,2011.0,misc,rising star games,0.15,0.08,0.0,0.02,0.26
6548,McGrath Vs. Pastrana Freestyle Motocross,ps,2000.0,racing,acclaim entertainment,0.14,0.1,0.0,0.02,0.26
6549,Legaia 2: Duel Saga,ps2,2001.0,role-playing,eidos interactive,0.13,0.1,0.0,0.03,0.26
6550,Crash Nitro Kart,gc,2003.0,racing,vivendi games,0.2,0.05,0.0,0.01,0.26
6551,Karaoke Joysound Wii,wii,2008.0,misc,hudson soft,0.01,0.0,0.25,0.0,0.26
6552,MLB 09: The Show,psp,2009.0,sports,sony computer entertainment,0.24,0.0,0.0,0.02,0.26
6553,Polarium,ds,2004.0,puzzle,nintendo,0.13,0.01,0.11,0.01,0.26
6554,Samurai Warriors 4,ps3,2014.0,action,tecmo koei,0.0,0.0,0.26,0.0,0.26
6555,F1 2014,x360,2014.0,racing,codemasters,0.08,0.15,0.0,0.02,0.26
6556,Classic NES Series: Bomberman,gba,2004.0,action,nintendo,0.1,0.04,0.11,0.01,0.26
6557,Avatar: The Last Airbender - The Burning Earth,wii,2007.0,action,thq,0.24,0.0,0.0,0.02,0.26
6558,Peter Jackson's King Kong: The Official Game of the Movie,x360,2005.0,action,ubisoft,0.2,0.03,0.0,0.02,0.26
6559,Bratz Ponyz 2,ds,2008.0,adventure,game factory,0.24,0.0,0.0,0.02,0.26
6560,A.C.E.: Another Century's Episode,ps2,2005.0,simulation,banpresto,0.0,0.0,0.26,0.0,0.26
6561,Frogger's Journey: The Forgotten Relic,gba,2003.0,action,konami digital entertainment,0.18,0.07,0.0,0.0,0.26
6562,X-Men vs. Street Fighter,sat,1997.0,fighting,capcom,0.0,0.0,0.26,0.0,0.26
6563,Army of Two: The Devil's Cartel,x360,2013.0,shooter,electronic arts,0.16,0.07,0.0,0.02,0.26
6564,Dora the Explorer: Game Boy Advance Video Volume 1,gba,2004.0,misc,unknown,0.18,0.07,0.0,0.0,0.26
6565,Oddworld: Stranger's Wrath,xb,2005.0,adventure,electronic arts,0.19,0.06,0.0,0.01,0.26
6566,Sega Rally Revo,psp,2007.0,racing,sega,0.03,0.15,0.0,0.08,0.26
6567,King of Fighters: Maximum Impact,ps2,2004.0,fighting,ignition entertainment,0.13,0.1,0.0,0.03,0.26
6568,Marvel Super Heroes vs. Street Fighter,ps,1998.0,fighting,virgin interactive,0.14,0.1,0.0,0.02,0.26
6569,Legendary,x360,2008.0,shooter,atari,0.08,0.15,0.0,0.03,0.26
6570,J-League Pro Soccer Club wo Tsukurou!,sat,1996.0,sports,sega,0.0,0.0,0.26,0.0,0.26
6571,Daisy Fuentes Pilates,wii,2009.0,sports,505 games,0.17,0.06,0.0,0.02,0.26
6572,Star Trek: The Game,ps3,2013.0,action,namco bandai games,0.1,0.11,0.0,0.05,0.26
6573,Drakan: The Ancients' Gates,ps2,2002.0,adventure,sony computer entertainment,0.13,0.1,0.0,0.03,0.26
6574,Dead or Alive Xtreme 2,x360,2006.0,sports,tecmo koei,0.15,0.03,0.06,0.02,0.26
6575,Petz: Crazy Monkeyz,wii,2008.0,simulation,ubisoft,0.23,0.0,0.0,0.02,0.26
6576,"SpongeBob SquarePants: Lights, Camera, Pants!",xb,2005.0,misc,thq,0.19,0.06,0.0,0.01,0.26
6577,Choro Q3,ps,1998.0,racing,takara,0.0,0.0,0.24,0.02,0.26
6578,Tokyo Jungle,ps3,2012.0,action,sony computer entertainment,0.0,0.0,0.26,0.0,0.26
6579,Hunted: The Demon's Forge,ps3,2011.0,action,bethesda softworks,0.12,0.08,0.02,0.04,0.26
6580,Lemony Snicket's A Series of Unfortunate Events,gc,2004.0,platform,activision,0.2,0.05,0.0,0.01,0.26
6581,Pirates of the Caribbean: Dead Man's Chest,ds,2006.0,adventure,disney interactive studios,0.23,0.01,0.0,0.02,0.26
6582,Bionicle: Matoran Adventures,gba,2002.0,platform,electronic arts,0.18,0.07,0.0,0.0,0.26
6583,Armored Core: Master of Arena,ps,1999.0,simulation,from software,0.07,0.05,0.13,0.02,0.26
6584,Fire Emblem: Thracia 776,snes,1999.0,strategy,nintendo,0.0,0.0,0.26,0.0,0.26
6585,Desert Falcon,2600,1987.0,shooter,atari,0.24,0.01,0.0,0.0,0.26
6586,NASCAR 09,ps3,2008.0,racing,electronic arts,0.22,0.01,0.0,0.02,0.26
6587,Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV,sat,1997.0,role-playing,hudson soft,0.0,0.0,0.26,0.0,0.26
6588,A.C.E.: Another Century's Episode 3: The Final,ps2,2007.0,simulation,banpresto,0.0,0.0,0.26,0.0,0.26
6589,ATV: Quad Power Racing,gba,2002.0,racing,liquid games,0.18,0.07,0.0,0.0,0.26
6590,Mario & Sonic at the Rio 2016 Olympic Games,wiiu,2016.0,action,nintendo,0.03,0.11,0.1,0.01,0.26
6591,The Backyardigans,ds,2009.0,adventure,take-two interactive,0.24,0.0,0.0,0.02,0.26
6592,Backyard NFL Football,gc,2002.0,sports,infogrames,0.2,0.05,0.0,0.01,0.26
6593,All-Star Baseball 2003,xb,2002.0,sports,acclaim entertainment,0.19,0.06,0.0,0.01,0.26
6594,Silent Hunter 5: Battle of the Atlantic,pc,2010.0,simulation,ubisoft,0.0,0.21,0.0,0.05,0.26
6595,MTX Mototrax,ps2,2004.0,racing,activision,0.13,0.1,0.0,0.03,0.26
6596,Tomb Raider: Underworld (Others sales),ps2,2009.0,adventure,eidos interactive,0.0,0.21,0.0,0.04,0.26
6597,NHL Rock the Rink,ps,1999.0,sports,electronic arts,0.14,0.1,0.0,0.02,0.26
6598,LEGO Star Wars III: The Clone Wars,pc,2011.0,action,lucasarts,0.1,0.13,0.0,0.03,0.26
6599,NBA ShootOut 2004,ps2,2003.0,sports,sony computer entertainment,0.13,0.1,0.0,0.03,0.26
6600,TOCA Race Driver 2: Ultimate Racing Simulator,psp,2005.0,racing,codemasters,0.0,0.25,0.0,0.0,0.26
6601,Super Robot Taisen R,gba,2002.0,strategy,banpresto,0.0,0.0,0.25,0.01,0.26
6602,Castlevania: Harmony of Dissonance,gba,2002.0,platform,konami digital entertainment,0.16,0.06,0.04,0.0,0.26
6603,Metroid Prime Pinball,ds,2005.0,misc,nintendo,0.21,0.0,0.02,0.02,0.26
6604,Formula One 2001,ps2,2001.0,racing,sony computer entertainment,0.13,0.1,0.0,0.03,0.26
6605,Nickelodeon Dance,wii,2011.0,misc,take-two interactive,0.23,0.01,0.0,0.02,0.26
6606,Doukyuusei if,sat,1996.0,role-playing,nec,0.0,0.0,0.26,0.0,0.26
6607,Baldur's Gate: Dark Alliance II,xb,2004.0,role-playing,acclaim entertainment,0.19,0.06,0.0,0.01,0.26
6608,MVP Baseball 2004,gc,2004.0,sports,electronic arts,0.2,0.05,0.0,0.01,0.26
6609,Super Street Fighter II: Turbo Revival,gba,2001.0,fighting,ubisoft,0.18,0.07,0.0,0.0,0.25
6610,Secret Weapons Over Normandy,xb,2003.0,simulation,lucasarts,0.19,0.05,0.0,0.01,0.25
6611,Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,ps,1998.0,sports,axela,0.0,0.0,0.24,0.02,0.25
6612,NHL 08,ps3,2007.0,action,electronic arts,0.16,0.06,0.0,0.03,0.25
6613,Kidou Senshi Gundam: Giren no Yabou,sat,1998.0,strategy,namco bandai games,0.0,0.0,0.25,0.0,0.25
6614,Imagine: Ballet Star,ds,2008.0,simulation,ubisoft,0.23,0.01,0.0,0.02,0.25
6615,Teen Titans,ps2,2006.0,action,thq,0.12,0.1,0.0,0.03,0.25
6616,Percy Jackson and the Olympians: The Lightning Thief,ds,2010.0,role-playing,activision,0.22,0.01,0.0,0.02,0.25
6617,Spelling Challenges and more!,psp,2007.0,misc,crave entertainment,0.24,0.0,0.0,0.02,0.25
6618,Crusaders of Might and Magic,ps,1999.0,role-playing,3do,0.14,0.1,0.0,0.02,0.25
6619,Journey,ps3,2012.0,adventure,sony computer entertainment europe,0.04,0.15,0.0,0.06,0.25
6620,Tearaway Unfolded,ps4,2015.0,platform,sony computer entertainment,0.09,0.12,0.0,0.04,0.25
6621,Star Wars The Clone Wars: Republic Heroes,ps2,2009.0,action,lucasarts,0.17,0.01,0.0,0.08,0.25
6622,Bomberman Generation,gc,2002.0,adventure,vivendi games,0.15,0.04,0.06,0.01,0.25
6623,NASCAR 09,x360,2008.0,racing,electronic arts,0.23,0.0,0.0,0.02,0.25
6624,Surfing H3O,ps2,2000.0,sports,take-two interactive,0.12,0.1,0.0,0.03,0.25
6625,Romance of the Three Kingdoms II,snes,1991.0,strategy,tecmo koei,0.0,0.0,0.25,0.0,0.25
6626,The Chronicles of Riddick: Assault on Dark Athena,ps3,2009.0,shooter,vivendi games,0.12,0.1,0.0,0.04,0.25
6627,Resident Evil Archives: Resident Evil Zero,wii,2008.0,action,capcom,0.14,0.04,0.06,0.02,0.25
6628,Zoo Resort 3D,3ds,2011.0,simulation,ubisoft,0.11,0.09,0.03,0.02,0.25
6629,Ice Age 2: The Meltdown,gba,2006.0,platform,vivendi games,0.18,0.07,0.0,0.0,0.25
6630,The Suite Life of Zack & Cody: Tipton Trouble,ds,2006.0,action,disney interactive studios,0.23,0.0,0.0,0.02,0.25
6631,World Series of Poker,xb,2005.0,misc,activision,0.19,0.05,0.0,0.01,0.25
6632,Hatsune Miku: Project Diva F 2nd,ps3,2014.0,misc,sega,0.09,0.04,0.1,0.03,0.25
6633,Galactic Attack,sat,1994.0,shooter,acclaim entertainment,0.0,0.0,0.25,0.0,0.25
6634,Power Pro Kun Pocket 2,gb,2000.0,sports,konami digital entertainment,0.0,0.0,0.25,0.0,0.25
6635,Game of Thrones,ps3,2012.0,role-playing,focus home interactive,0.1,0.11,0.0,0.04,0.25
6636,Happy Feet,gc,2006.0,action,midway games,0.2,0.05,0.0,0.01,0.25
6637,Walt Disney's The Jungle Book: Rhythm N'Groove,ps2,2003.0,misc,disney interactive studios,0.12,0.1,0.0,0.03,0.25
6638,Triple Play 2002,xb,2002.0,sports,electronic arts,0.19,0.05,0.0,0.01,0.25
6639,Scrabble,ds,2009.0,misc,ubisoft,0.21,0.02,0.0,0.03,0.25
6640,Evil Zone,ps,1998.0,fighting,titus,0.14,0.1,0.0,0.02,0.25
6641,Spy Kids Challenger,gba,2002.0,platform,disney interactive studios,0.18,0.07,0.0,0.0,0.25
6642,K-ON! Houkago Live!!,psp,2010.0,misc,sega,0.0,0.0,0.25,0.0,0.25
6643,A. IV Evolution: A Ressha de Ikou 4,ps,1994.0,strategy,artdink,0.0,0.0,0.24,0.02,0.25
6644,Exhibition,xb,2001.0,misc,microsoft game studios,0.19,0.05,0.0,0.01,0.25
6645,Scrabble,ps,1999.0,misc,ubisoft,0.14,0.1,0.0,0.02,0.25
6646,Tony Hawk's Proving Ground,wii,2007.0,sports,activision,0.22,0.01,0.0,0.02,0.25
6647,Amped 2,xb,2003.0,sports,microsoft game studios,0.2,0.04,0.0,0.01,0.25
6648,Blaster Master: Blasting Again,ps,2000.0,shooter,sunsoft,0.14,0.1,0.0,0.02,0.25
6649,College Hoops 2K6,ps2,2009.0,sports,unknown,0.12,0.1,0.0,0.03,0.25
6650,Cartoon Network Collection: Game Boy Advance Video Volume 1,gba,2004.0,misc,unknown,0.18,0.07,0.0,0.0,0.25
6651,Cars,x360,2006.0,racing,thq,0.22,0.02,0.0,0.02,0.25
6652,Family Guy: Back to the Multiverse,x360,2012.0,action,activision,0.14,0.09,0.0,0.02,0.25
6653,Kung Fu Panda 2,x360,2011.0,action,thq,0.16,0.07,0.0,0.02,0.25
6654,Up,ps3,2009.0,action,thq,0.15,0.07,0.0,0.03,0.25
6655,Birds of Steel,ps3,2012.0,simulation,konami digital entertainment,0.1,0.09,0.02,0.04,0.25
6656,Madagascar: Escape 2 Africa,x360,2008.0,action,activision,0.12,0.1,0.0,0.03,0.25
6657,WipEout XL,ps,1996.0,racing,psygnosis,0.14,0.1,0.0,0.02,0.25
6658,Animal Paradise,ds,2007.0,simulation,empire interactive,0.09,0.14,0.0,0.02,0.25
6659,The Powerpuff Girls: Chemical X-Traction,ps,2001.0,action,bam! entertainment,0.14,0.1,0.0,0.02,0.25
6660,NHL 08,x360,2007.0,action,electronic arts,0.22,0.01,0.0,0.02,0.25
6661,Dynasty Warriors 6 (JP sales),ps2,2008.0,action,tecmo koei,0.0,0.0,0.25,0.0,0.25
6662,Just Dance Kids 2,ps3,2011.0,misc,ubisoft,0.1,0.1,0.0,0.04,0.25
6663,FIFA 14,3ds,2013.0,sports,electronic arts,0.0,0.23,0.0,0.03,0.25
6664,Men of Valor,xb,2004.0,shooter,vivendi games,0.19,0.05,0.0,0.01,0.25
6665,Bomberman Tournament,gba,2001.0,puzzle,activision,0.1,0.04,0.1,0.01,0.25
6666,Medal of Honor European Assault,gc,2005.0,shooter,electronic arts,0.19,0.05,0.0,0.01,0.25
6667,Spider-Man: Web of Shadows,wii,2008.0,action,activision,0.22,0.01,0.0,0.02,0.25
6668,Billy Hatcher and the Giant Egg,gc,2003.0,platform,sega,0.19,0.05,0.0,0.01,0.25
6669,Midway's Greatest Arcade Hits,gba,2001.0,misc,midway games,0.18,0.07,0.0,0.0,0.25
6670,SpongeBob's Truth or Square (US sales),x360,2009.0,action,thq,0.25,0.0,0.0,0.0,0.25
6671,Final Fantasy II,ws,2001.0,role-playing,squaresoft,0.0,0.0,0.25,0.0,0.25
6672,WipEout Fusion,ps2,2002.0,racing,sony computer entertainment,0.12,0.1,0.0,0.03,0.25
6673,Spider-Man: Edge of Time,x360,2011.0,action,activision,0.18,0.05,0.0,0.02,0.25
6674,UEFA Euro 2008 Austria-Switzerland,psp,2008.0,sports,electronic arts,0.06,0.13,0.0,0.06,0.25
6675,Marie no Atelier: Salburg no Renkinjutsushi,ps,1997.0,role-playing,gust,0.0,0.0,0.23,0.02,0.25
6676,The Outfit,x360,2006.0,action,thq,0.21,0.02,0.0,0.02,0.25
6677,Golden Nugget Casino,gba,2004.0,misc,majesco entertainment,0.18,0.07,0.0,0.0,0.25
6678,NHL 06,xb,2005.0,sports,electronic arts,0.19,0.05,0.0,0.01,0.25
6679,Atari Anthology,xb,2004.0,misc,atari,0.19,0.05,0.0,0.01,0.25
6680,Ultimate Fighting Championship,ps,2000.0,fighting,ubisoft,0.14,0.09,0.0,0.02,0.25
6681,XIII,xb,2003.0,shooter,ubisoft,0.16,0.08,0.0,0.01,0.25
6682,MotoGP '07,x360,2007.0,racing,thq,0.23,0.0,0.0,0.02,0.25
6683,Samurai Shodown II,ng,1994.0,fighting,snk,0.0,0.0,0.25,0.0,0.25
6684,Mortal Kombat: Armageddon,wii,2007.0,fighting,midway games,0.21,0.02,0.0,0.02,0.25
6685,Don King Presents: Prizefighter,x360,2008.0,sports,take-two interactive,0.14,0.08,0.0,0.02,0.25
6686,Hybrid Heaven,n64,1999.0,role-playing,konami digital entertainment,0.16,0.04,0.05,0.0,0.25
6687,NBA Showtime: NBA on NBC,n64,1999.0,sports,midway games,0.23,0.02,0.0,0.0,0.25
6688,Fox Sports College Hoops '99,n64,1998.0,sports,fox interactive,0.2,0.05,0.0,0.0,0.25
6689,Wheel of Fortune,n64,1997.0,misc,take-two interactive,0.2,0.05,0.0,0.0,0.25
6690,MRC: Multi-Racing Championship,n64,1997.0,racing,ocean,0.2,0.05,0.0,0.0,0.25
6691,F1 Pole Position 64,n64,1997.0,racing,ubisoft,0.11,0.13,0.0,0.01,0.25
6692,Gex 64: Enter the Gecko,n64,1998.0,action,gt interactive,0.2,0.05,0.0,0.0,0.25
6693,Wayne Gretzky's 3D Hockey '98,n64,1997.0,sports,midway games,0.23,0.02,0.0,0.0,0.25
6694,NBA Courtside 2 featuring Kobe Bryant,n64,1999.0,sports,nintendo,0.2,0.05,0.0,0.0,0.25
6695,J Stars Victory Vs.,ps4,2015.0,fighting,namco bandai games,0.07,0.14,0.0,0.04,0.25
6696,U-Sing: Girls Night,wii,2010.0,misc,mindscape,0.0,0.21,0.0,0.04,0.25
6697,The Mummy: Tomb of the Dragon Emperor,ps2,2008.0,action,vivendi games,0.12,0.1,0.0,0.03,0.25
6698,Def Jam Vendetta,gc,2003.0,fighting,electronic arts,0.19,0.05,0.0,0.01,0.25
6699,Scooby-Doo! Unmasked,ps2,2005.0,platform,thq,0.12,0.1,0.0,0.03,0.25
6700,Penny Racers,ps,1996.0,racing,sony computer entertainment,0.0,0.0,0.23,0.02,0.25
6701,The Sims 2,xb,2005.0,simulation,electronic arts,0.19,0.05,0.0,0.01,0.25
6702,Caesars Palace II,ps,1998.0,misc,interplay,0.14,0.09,0.0,0.02,0.25
6703,Final Fantasy Type-0,xone,2015.0,role-playing,square enix,0.15,0.07,0.0,0.02,0.25
6704,World Series Baseball 2K3,ps2,2003.0,sports,sega,0.12,0.1,0.0,0.03,0.25
6705,Freshly-Picked: Tingle's Rosy Rupeeland,ds,2006.0,role-playing,nintendo,0.0,0.01,0.24,0.0,0.25
6706,Pro Yakyuu Team o Tsukurou!,sat,1998.0,sports,sega,0.0,0.0,0.25,0.0,0.25
6707,L.A. Noire: The Complete Edition,pc,2011.0,adventure,take-two interactive,0.08,0.13,0.0,0.04,0.25
6708,Sentimental Graffiti,sat,1998.0,adventure,nec interchannel,0.0,0.0,0.25,0.0,0.25
6709,Hitman: Absolution,pc,2012.0,action,square enix,0.03,0.17,0.0,0.04,0.25
6710,Bolt,x360,2008.0,adventure,disney interactive studios,0.18,0.05,0.0,0.02,0.25
6711,Marvel: Ultimate Alliance 2,psp,2009.0,role-playing,activision,0.17,0.04,0.0,0.04,0.25
6712,The Legend of Legacy,3ds,2015.0,role-playing,furyu,0.11,0.02,0.1,0.01,0.25
6713,Disgaea 2: Dark Hero Days,psp,2009.0,role-playing,nippon ichi software,0.1,0.01,0.12,0.02,0.25
6714,Devil Kings,ps2,2005.0,action,capcom,0.03,0.03,0.18,0.01,0.25
6715,Ultimate Band,wii,2008.0,misc,disney interactive studios,0.2,0.03,0.0,0.02,0.25
6716,NBA Jam Tournament Edition,ps,1995.0,sports,acclaim entertainment,0.14,0.09,0.0,0.02,0.25
6717,Far Cry Instincts Predator,x360,2006.0,shooter,ubisoft,0.2,0.03,0.0,0.02,0.25
6718,Medabots AX: Metabee,gba,2002.0,role-playing,natsume,0.18,0.07,0.0,0.0,0.25
6719,Tennis no Oji-Sama: Genius Boys Academy,gba,2002.0,sports,konami digital entertainment,0.0,0.0,0.24,0.01,0.25
6720,X-Men: Destiny,ps3,2011.0,action,activision,0.14,0.08,0.0,0.03,0.25
6721,Shadow Man,ps,1998.0,action,acclaim entertainment,0.14,0.09,0.0,0.02,0.25
6722,X-Men Origins: Wolverine,wii,2009.0,action,activision,0.19,0.04,0.0,0.02,0.25
6723,Netsu Chu! Pro Yakyuu 2002,ps2,2002.0,sports,namco bandai games,0.0,0.0,0.25,0.0,0.25
6724,Ninja Gaiden 3,x360,2012.0,action,tecmo koei,0.16,0.05,0.03,0.02,0.25
6725,Ben 10 Ultimate Alien: Cosmic Destruction,ps3,2010.0,platform,d3publisher,0.12,0.09,0.0,0.04,0.25
6726,Yakuza Zero: The Place of Oath,ps3,2015.0,action,sega,0.0,0.0,0.25,0.0,0.25
6727,Prince of Persia: The Forgotten Sands,wii,2010.0,action,ubisoft,0.11,0.11,0.0,0.02,0.25
6728,Dynasty Warriors 6,ps2,2008.0,action,tecmo koei,0.12,0.09,0.0,0.03,0.25
6729,Imagine: Zookeeper,ds,2009.0,simulation,ubisoft,0.16,0.06,0.0,0.02,0.25
6730,Porky's,2600,1982.0,action,20th century fox video games,0.23,0.01,0.0,0.0,0.25
6731,America's Army: Rise of a Soldier,xb,2005.0,shooter,ubisoft,0.19,0.05,0.0,0.01,0.25
6732,Grandia,ps,1999.0,role-playing,ubisoft,0.14,0.09,0.0,0.02,0.25
6733,TV Superstars,ps3,2010.0,misc,sony computer entertainment,0.07,0.13,0.0,0.05,0.25
6734,Armored Core 4,x360,2007.0,simulation,505 games,0.19,0.01,0.03,0.02,0.25
6735,F1 2000,ps,2000.0,racing,electronic arts,0.14,0.09,0.0,0.02,0.25
6736,Littlest Pet Shop: Country Friends,ds,2009.0,simulation,electronic arts,0.23,0.0,0.0,0.02,0.25
6737,Dood's Big Adventure,wii,2010.0,platform,thq,0.22,0.01,0.0,0.02,0.25
6738,Pirates of the Caribbean: The Legend of Jack Sparrow,ps2,2006.0,adventure,ubisoft,0.12,0.09,0.0,0.03,0.25
6739,We Love Golf!,wii,2007.0,sports,capcom,0.2,0.01,0.03,0.02,0.25
6740,WRC: World Rally Championship,ps2,2001.0,racing,sony computer entertainment,0.12,0.09,0.0,0.03,0.25
6741,"Ed, Edd n Eddy: The Mis-Edventures",gc,2005.0,platform,midway games,0.19,0.05,0.0,0.01,0.25
6742,Cars: Mater-National Championship,ps2,2007.0,racing,thq,0.12,0.09,0.0,0.03,0.25
6743,Dreamworks Madagascar Kartz,x360,2009.0,racing,activision,0.14,0.09,0.0,0.02,0.25
6744,Harry Potter and the Order of the Phoenix,ps3,2007.0,action,electronic arts,0.18,0.04,0.0,0.03,0.25
6745,Anno 2205,pc,2015.0,strategy,ubisoft,0.02,0.22,0.0,0.01,0.25
6746,Dune 2000,ps,1999.0,strategy,electronic arts,0.14,0.09,0.0,0.02,0.25
6747,Cradle of Rome,ds,2008.0,puzzle,rising star games,0.06,0.16,0.0,0.03,0.25
6748,Monster Hunter G,wii,2009.0,role-playing,capcom,0.0,0.0,0.25,0.0,0.25
6749,Fuel,ps3,2009.0,racing,codemasters,0.08,0.12,0.0,0.05,0.25
6750,Hasbro Family Game Night 3,ps3,2010.0,misc,electronic arts,0.18,0.04,0.0,0.03,0.25
6751,Pro Evolution Soccer 2014,x360,2013.0,action,konami digital entertainment,0.06,0.16,0.0,0.03,0.25
6752,Project Overkill,ps,1996.0,shooter,konami digital entertainment,0.14,0.09,0.0,0.02,0.25
6753,Jumping Flash! 2,ps,1996.0,platform,sony computer entertainment,0.05,0.03,0.15,0.02,0.25
6754,Nickelodeon Party Blast,gc,2002.0,misc,atari,0.19,0.05,0.0,0.01,0.25
6755,SBK Superbike World Championship,ps3,2008.0,racing,black bean games,0.12,0.11,0.0,0.02,0.25
6756,Final Fantasy XI: Chains of Promathia,ps2,2004.0,role-playing,square enix,0.12,0.09,0.0,0.03,0.25
6757,Choro Q2,ps,1997.0,racing,takara,0.0,0.0,0.23,0.02,0.25
6758,Disney's A Christmas Carol,ds,2009.0,adventure,disney interactive studios,0.22,0.01,0.0,0.02,0.25
